Ticket,Open Time,Type,Size,Item,Price,S/L,T/P,Close Time,Price,Commission,Taxes,Swap,Profit
1001,2024.03.04 02:15:00,buy,0.10,eurusd,1.08500,1.08200,1.09000,2024.03.04 04:40:00,1.08780,0,0,0,80.00
1002,2024.03.04 05:00:00,sell,0.10,gbpusd,1.26800,1.27100,1.26400,2024.03.04 06:10:00,1.26920,0,0,0,-40.00
1003,2024.03.04 09:10:00,sell,0.10,gbpusd,1.27000,1.27300,1.26500,2024.03.04 10:05:00,1.27240,0,0,0,-120.00
1004,2024.03.04 10:12:00,sell,0.20,gbpusd,1.27250,1.27600,1.26600,2024.03.04 10:45:00,1.27480,0,0,0,-180.00
1005,2024.03.04 11:30:00,buy,0.10,eurusd,1.08600,1.08350,1.09000,2024.03.04 12:20:00,1.08820,0,0,0,95.00
1006,2024.03.04 14:20:00,buy,0.10,xauusd,2150.00,0,2165.00,2024.03.04 15:10:00,2142.00,0,0,0,-240.00
1007,2024.03.04 15:30:00,sell,0.10,us30,39100.00,39180.00,38950.00,2024.03.04 16:00:00,39020.00,0,0,0,140.00
1008,2024.03.04 18:00:00,buy,0.15,eurusd,1.08700,0,1.09100,2024.03.04 18:40:00,1.08550,0,0,0,-90.00
1009,2024.03.04 20:10:00,buy,0.10,gbpusd,1.26900,1.26600,1.27400,2024.03.04 21:00:00,1.27120,0,0,0,60.00
1010,2024.03.05 01:20:00,buy,0.10,usdjpy,150.200,149.900,150.800,2024.03.05 02:00:00,150.450,0,0,0,45.00
1011,2024.03.05 03:00:00,sell,0.10,xauusd,2148.00,2152.00,2138.00,2024.03.05 03:50:00,2151.00,0,0,0,-70.00
1012,2024.03.05 08:15:00,buy,0.10,eurusd,1.08800,1.08500,1.09300,2024.03.05 09:00:00,1.09050,0,0,0,110.00
1013,2024.03.05 09:20:00,sell,0.10,gbpusd,1.27100,1.27400,1.26600,2024.03.05 09:50:00,1.27300,0,0,0,-100.00
1014,2024.03.05 09:58:00,sell,0.16,gbpusd,1.27320,1.27600,1.26800,2024.03.05 10:20:00,1.27480,0,0,0,-80.00
1015,2024.03.05 22:30:00,buy,0.10,usdcad,1.35200,1.34900,1.35600,2024.03.05 23:10:00,1.35380,0,0,0,25.00
